temperature,humidity,wind_speed,clothing_type
20.11,31.11,23.74,moderate
33.47,24.44,17.13,low
11.24,74.51,21.72,heavy
-9.77,54.16,16.14,heavy
30.05,96.57,11.92,low
38.32,11.37,6.44,
-1.86,48.08,2.53,
-1.71,59.71,24.53,heavy
15.01,69.4,0.49,
34.01,56.62,21.42,low
12.18,41.65,22.6,heavy
27.96,81.45,25.97,low
0.66,25.47,29.92,heavy
13.93,33.95,19.07,heavy
34.04,57.74,6.86,
19.86,30.66,27.86,moderate
18.84,3.14,6.38,
-7.03,63.39,20.68,heavy
39.53,62.73,29.89,low
14.07,99.04,29.97,heavy
-3.58,3.74,21.71,heavy
18.41,10.83,17.11,moderate
35.63,20.45,5.61,
-1.69,71.52,23.26,heavy
28.1,9.84,26.48,low
28.37,15.69,25.44,low
11.62,57.24,3.11,
22.36,92.6,2.75,
-1.11,16.57,22.23,heavy
10.32,37.37,23.86,heavy
38.64,62.3,2.78,
-1.64,74.87,17.32,heavy
-9.9,19.32,1.72,
-5.93,28.52,19.19,heavy
13.35,64.11,17.61,heavy
17.88,80.56,29.51,moderate
31.46,99.76,22.73,low
16.14,48.93,2.3,
30.28,95.79,12.46,low
24.59,50.06,29.21,moderate
1.32,54.25,29.91,heavy
25.22,60.1,14.24,low
-1.65,40.64,12.73,heavy
36.56,66.58,1.37,
8.37,83.31,1.57,
-2.91,39.8,10.34,heavy
14.95,31.04,21.6,heavy
26.19,65.77,9.0,
8.68,12.51,28.79,heavy
32.25,42.08,12.38,low
-5.1,62.22,11.4,heavy
-6.08,69.62,22.29,heavy
5.48,57.79,15.76,heavy
19.03,12.72,27.0,moderate
-6.54,75.56,26.58,heavy
25.15,59.33,1.36,
19.64,56.45,25.41,moderate
-5.54,71.41,23.32,heavy
25.67,53.41,29.25,low
-2.25,62.11,3.52,
27.44,5.46,28.2,low
-9.33,35.43,25.48,heavy
25.94,51.88,20.89,low
30.24,18.13,18.35,low
20.4,28.43,16.76,moderate
8.79,27.71,27.67,heavy
14.39,98.42,8.4,
36.8,90.01,25.29,low
26.61,12.22,23.27,low
32.48,39.92,18.93,low
21.06,24.07,21.09,moderate
34.61,0.17,20.51,low
-7.77,18.47,21.21,heavy
18.64,15.46,14.67,moderate
39.83,57.89,3.41,
9.13,84.55,0.28,
13.98,96.4,4.94,
17.09,36.46,12.66,moderate
16.91,24.64,4.52,
17.98,28.65,29.17,moderate
4.93,60.49,17.02,heavy
-2.72,13.48,21.64,heavy
-0.89,16.04,5.86,
-9.47,82.67,28.62,heavy
7.43,3.7,7.97,
36.1,47.93,12.24,low
7.14,53.5,15.68,heavy
30.88,5.0,18.92,low
17.7,64.74,25.33,moderate
24.13,4.2,8.7,
11.19,44.54,26.21,heavy
-9.94,42.47,24.08,heavy
35.42,76.69,20.45,low
27.42,31.04,25.33,low
-4.9,50.63,0.48,
37.89,20.31,30.0,low
34.07,35.05,6.56,
24.56,20.98,23.94,moderate
37.35,4.31,11.62,low
20.26,60.78,28.1,moderate
-6.45,88.89,15.36,heavy
12.06,78.76,22.63,heavy
9.94,26.03,5.44,
-2.77,58.51,2.16,
2.3,4.34,25.73,heavy
25.46,59.58,29.16,low
19.2,80.82,22.51,moderate
32.47,50.67,3.42,
4.8,77.27,22.55,heavy
0.9,91.52,28.71,heavy
-3.2,0.45,21.93,heavy
25.28,40.19,18.66,low
21.17,2.78,24.82,moderate
-7.56,66.61,27.77,heavy
35.57,86.42,6.83,
-9.7,88.65,14.8,heavy
34.86,73.4,29.85,low
20.31,21.78,24.74,moderate
34.33,44.75,0.35,
13.96,45.4,12.18,heavy
36.89,86.01,3.4,
-6.44,22.93,20.15,heavy
31.9,78.5,11.73,low
19.37,97.83,20.52,moderate
25.35,59.87,18.4,low
29.65,9.33,5.63,
5.29,41.67,28.36,heavy
30.65,89.78,16.04,low
-6.41,41.19,22.24,heavy
27.52,89.91,1.47,
3.65,9.74,7.82,
-1.8,86.56,15.04,heavy
9.6,24.26,14.8,heavy
3.98,57.13,0.22,
-2.23,57.25,16.0,heavy
24.88,88.68,1.44,
12.83,10.54,21.59,heavy
24.97,81.94,1.06,
15.2,30.21,16.25,moderate
27.47,79.51,29.95,low
27.64,84.16,29.09,low
10.16,92.54,15.4,heavy
25.53,94.52,24.45,low
37.79,8.91,8.81,
39.51,61.6,28.71,low
-9.39,87.34,6.24,
-1.43,10.66,20.68,heavy
-0.65,54.33,12.49,heavy
26.55,36.02,9.34,
28.63,24.31,21.92,low
31.4,33.87,5.4,
25.06,67.91,15.2,low
